codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
51878,51878,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,2011-12-24,22:15:00,0
45292,45292,INCIDENTE GRAVE,FORMIGA,MG,****,2011-12-26,21:30:00,0
45328,45328,INCIDENTE,SÃO PAULO,SP,****,2011-12-28,03:17:00,0
45450,45450,INCIDENTE,CONFINS,MG,****,2011-12-28,19:00:00,0
45293,45293,INCIDENTE,VÁRZEA GRANDE,MT,SBCY,2011-12-29,18:51:00,0
45327,45327,INCIDENTE,CONFINS,MG,SBCF,2011-12-29,06:48:00,0
45930,45930,ACIDENTE,AQUIRAZ,CE,****,2011-12-29,12:00:00,0
51880,51880,INCIDENTE,GUARULHOS,SP,****,2011-12-29,09:00:00,0
51881,51881,INCIDENTE,BELO HORIZONTE,MG,****,2011-12-29,17:18:00,0
51882,51882,INCIDENTE,GUARULHOS,SP,SBGR,2011-12-29,14:11:00,0
51883,51883,INCIDENTE,NAVEGANTES,SC,SBNF,2011-12-29,18:33:00,0
45291,45291,ACIDENTE,IGUABA GRANDE,RJ,****,2011-12-30,17:40:00,1
45655,45655,INCIDENTE,MANAUS,AM,****,2011-12-30,14:00:00,0
52242,52242,INCIDENTE,PORTO ALEGRE,RS,SBPA,2012-01-05,20:27:00,0
45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,3
45333,45333,ACIDENTE,VIAMÃO,RS,****,2012-01-06,13:00:00,0
45401,45401,ACIDENTE,SÃO SEBASTIÃO,SP,****,2012-01-06,17:00:00,0
45407,45407,ACIDENTE,SÃO SEPÉ,RS,****,2012-01-06,16:30:00,0
52243,52243,INCIDENTE,UBATUBA,SP,****,2012-01-06,14:30:00,0
50713,50713,INCIDENTE GRAVE,CAMPINAS,SP,SDAI,2012-01-07,18:15:00,0
45334,45334,INCIDENTE,BELÉM,PA,SBBE,2012-01-08,19:12:00,0
45391,45391,ACIDENTE,CONCEIÇÃO DAS ALAGOAS,MG,****,2012-01-08,16:00:00,0
52244,52244,INCIDENTE,UBERLÂNDIA,MG,SBUL,2012-01-08,22:13:00,0
45332,45332,ACIDENTE,VIAMÃO,RS,****,2012-01-09,13:30:00,0
52245,52245,INCIDENTE,PORTO ALEGRE,RS,SBPA,2012-01-09,13:36:00,0
45396,45396,INCIDENTE GRAVE,MARABÁ,PA,SBMA,2012-01-11,11:21:00,0
45408,45408,ACIDENTE,ELDORADO,SP,****,2012-01-11,13:45:00,0
45447,45447,INCIDENTE,RIO BRANCO,AC,****,2012-01-13,18:15:00,0
45409,45409,ACIDENTE,CÁCERES,MT,****,2012-01-14,10:00:00,0
45693,45693,INCIDENTE,MACAÉ,RJ,****,2012-01-14,10:30:00,0
52246,52246,INCIDENTE,BRASÍLIA,DF,SBBR,2012-01-16,16:47:00,0
50714,50714,INCIDENTE GRAVE,CAMOCIM,CE,SNWC,2012-01-17,18:25:00,0
45399,45399,INCIDENTE GRAVE,MUANÁ,PA,****,2012-01-18,17:35:00,0
52247,52247,INCIDENTE,BELO HORIZONTE,MG,SBPR,2012-01-18,13:10:00,0
45392,45392,ACIDENTE,BRASÍLIA,DF,****,2012-01-19,21:30:00,2
45390,45390,ACIDENTE,CACHOEIRA DOURADA,GO,****,2012-01-20,21:00:00,0
45405,45405,INCIDENTE,CUIABÁ,MT,****,2012-01-20,08:00:00,0
45582,45582,INCIDENTE GRAVE,RONDONÓPOLIS,MT,SWRD,2012-01-20,17:00:00,0
45400,45400,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,2012-01-21,14:50:00,4
45410,45410,ACIDENTE,BRAGANÇA PAULISTA,SP,SDVH,2012-01-21,23:30:00,0
52241,52241,INCIDENTE GRAVE,UBERLÂNDIA,MG,SBUL,2012-01-21,20:45:00,0
52248,52248,INCIDENTE,SÃO PAULO,SP,SBMT,2012-01-21,11:15:00,0
45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,0
45397,45397,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,****,2012-01-22,19:05:00,2
52051,52051,INCIDENTE,RECIFE,PE,SBRF,2012-01-22,23:00:00,0
45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,2
45413,45413,ACIDENTE,ITAPURANGA,GO,****,2012-01-25,22:00:00,0
52053,52053,INCIDENTE,VITÓRIA,ES,SBVT,2012-01-25,13:36:00,0
52054,52054,INCIDENTE,SÃO PAULO,SP,SBMT,2012-01-25,23:00:00,0
52055,52055,INCIDENTE,RIBEIRÃO PRETO,SP,****,2012-01-25,09:30:00,0
45802,45802,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-01-26,17:00:00,0
45667,45667,INCIDENTE,JOINVILLE,SC,SBJV,2012-01-27,14:45:00,0
45579,45579,ACIDENTE,CAMPOS LINDOS,TO,****,2012-01-28,18:35:00,0
45415,45415,ACIDENTE,RIO DE JANEIRO,RJ,****,2012-01-30,13:55:00,0
45719,45719,INCIDENTE,PELOTAS,RS,****,2012-01-30,21:30:00,0
45414,45414,ACIDENTE,NOVA BRASILÂNDIA,MT,****,2012-01-31,18:00:00,0
45417,45417,ACIDENTE,VÁRZEA GRANDE,MT,****,2012-01-31,14:15:00,0
45668,45668,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,2012-02-01,12:30:00,0
45682,45682,INCIDENTE,MACAÉ,RJ,****,2012-02-01,13:50:00,0
45525,45525,ACIDENTE,CAMPO FLORIDO,MG,****,2012-02-02,21:30:00,2
45705,45705,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,2012-02-02,22:35:00,0
45658,45658,INCIDENTE,CAMPO GRANDE,MS,SBCG,2012-02-03,23:33:00,0
45703,45703,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2012-02-03,02:04:00,0
45701,45701,INCIDENTE,BELÉM,PA,SBBE,2012-02-04,14:55:00,0
45587,45587,ACIDENTE,CORRENTINA,BA,****,2012-02-05,20:27:00,0
52056,52056,INCIDENTE,LONDRINA,PR,SBLO,2012-02-05,17:34:00,0
45469,45469,INCIDENTE,PIRACICABA,SP,SDPW,2012-02-06,20:45:00,0
45572,45572,ACIDENTE,PALESTINA,SP,****,2012-02-06,19:30:00,0
45669,45669,INCIDENTE,ITANHAÉM,SP,****,2012-02-06,14:00:00,0
45699,45699,INCIDENTE,SÃO PAULO,SP,SBSP,2012-02-06,18:44:00,0
45700,45700,INCIDENTE,CUIABÁ,MT,****,2012-02-06,20:00:00,0
45524,45524,ACIDENTE,JUNDIAÍ,SP,SBJD,2012-02-07,16:10:00,0
45580,45580,INCIDENTE GRAVE,MACAÉ,RJ,****,2012-02-07,14:50:00,4
45588,45588,ACIDENTE,RIO DE JANEIRO,RJ,****,2012-02-07,20:56:00,4
45656,45656,INCIDENTE,JUNDIAÍ,SP,SBJD,2012-02-07,20:50:00,0
46900,46900,ACIDENTE,QUELUZITO,MG,****,2012-02-07,19:45:00,0
45528,45528,ACIDENTE,BELÉM,PA,****,2012-02-08,01:44:00,3
45564,45564,ACIDENTE,SONORA,MS,****,2012-02-08,09:50:00,0
45585,45585,ACIDENTE,BELA VISTA DO PARAÍSO,PR,****,2012-02-08,21:35:00,0
45678,45678,INCIDENTE,BELO HORIZONTE,MG,SBPR,2012-02-10,22:05:00,0
45718,45718,INCIDENTE,UBERLÂNDIA,MG,SBUL,2012-02-10,04:00:00,0
45466,45466,ACIDENTE,CAMPINAS,SP,SDAM,2012-02-12,19:25:00,0
45470,45470,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2012-02-12,02:20:00,0
45586,45586,ACIDENTE,ARROIO GRANDE,RS,****,2012-02-15,13:00:00,0
52471,52471,INCIDENTE GRAVE,CAIRU,BA,SNCL,2012-02-15,13:20:00,0
45487,45487,ACIDENTE,CAMETÁ,PA,****,2012-02-16,12:30:00,3
45684,45684,INCIDENTE,PERUÍBE,SP,****,2012-02-17,14:45:00,0
45689,45689,INCIDENTE,RIO DE JANEIRO,RJ,****,2012-02-17,23:00:00,0
45712,45712,INCIDENTE,CABO FRIO,RJ,****,2012-02-17,12:00:00,0
45713,45713,INCIDENTE,SÃO PAULO,SP,****,2012-02-17,11:30:00,0
45584,45584,INCIDENTE GRAVE,ESTÂNCIA,SE,SNOD,2012-02-19,15:10:00,0
45598,45598,INCIDENTE GRAVE,BRAGANÇA PAULISTA,SP,SBBP,2012-02-20,14:10:00,0
45715,45715,INCIDENTE,MANAUS,AM,SWFN,2012-02-20,09:10:00,0
45571,45571,ACIDENTE,MARITUBA,PA,****,2012-02-22,13:40:00,9
45710,45710,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,2012-02-22,22:45:00,0
45714,45714,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-02-22,19:35:00,0
45681,45681,INCIDENTE,MANAUS,AM,SBEG,2012-02-23,10:25:00,0
45527,45527,ACIDENTE,CORUPÁ,SC,****,2012-02-24,11:45:00,0
45569,45569,ACIDENTE,COSTA RICA,MS,****,2012-02-24,10:30:00,0
45653,45653,INCIDENTE GRAVE,GUARULHOS,SP,SBGR,2012-02-24,20:04:00,0
45490,45490,ACIDENTE,BELÉM,PA,****,2012-02-25,11:47:00,1
45680,45680,INCIDENTE,CONFINS,MG,SBCF,2012-02-25,20:00:00,0
45709,45709,INCIDENTE,RIO DE JANEIRO,RJ,****,2012-02-26,15:42:00,0
45522,45522,ACIDENTE,SÃO JOSÉ,SC,SSKT,2012-02-27,21:00:00,0
45599,45599,INCIDENTE GRAVE,BRAGANÇA PAULISTA,SP,SBBP,2012-02-27,19:15:00,0
45523,45523,ACIDENTE,ENVIRA,AM,****,2012-02-28,21:30:00,0
45573,45573,ACIDENTE,MANAUS,AM,****,2012-02-28,10:15:00,2
45570,45570,ACIDENTE,LUIZ ALVES,SC,****,2012-02-29,11:15:00,0
45727,45727,INCIDENTE,BARRA DO GARÇAS,MT,SBBW,2012-03-01,12:50:00,0
45526,45526,ACIDENTE,QUERÊNCIA DO NORTE,PR,****,2012-03-02,12:50:00,0
45589,45589,ACIDENTE,LINS,SP,SWXQ,2012-03-02,17:35:00,0
45707,45707,INCIDENTE,FORTALEZA,CE,SBFZ,2012-03-02,22:12:00,0
45610,45610,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,****,2012-03-03,13:00:00,0
45706,45706,INCIDENTE,RIO BRANCO,AC,SBRB,2012-03-03,17:35:00,0
45711,45711,INCIDENTE,SÃO PAULO,SP,****,2012-03-03,11:30:00,0
45596,45596,ACIDENTE,ELISEU MARTINS,PI,****,2012-03-06,12:30:00,2
45604,45604,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,2012-03-06,11:31:00,0
45670,45670,INCIDENTE,SALVADOR,BA,SBSV,2012-03-06,23:25:00,0
45594,45594,ACIDENTE,ITUMBIARA,GO,****,2012-03-07,10:00:00,0
45601,45601,INCIDENTE,GUARULHOS,SP,SBGR,2012-03-07,17:40:00,0
45624,45624,INCIDENTE,VITÓRIA,ES,****,2012-03-07,11:45:00,0
45671,45671,INCIDENTE,PALMAS,TO,SBPJ,2012-03-07,10:50:00,0
45728,45728,INCIDENTE,RIO BRANCO,AC,****,2012-03-08,22:00:00,0
45677,45677,INCIDENTE,ANÁPOLIS,GO,****,2012-03-09,08:30:00,0
45695,45695,INCIDENTE,MACAÉ,RJ,SBME,2012-03-09,11:35:00,0
45698,45698,INCIDENTE,FORTALEZA,CE,****,2012-03-09,14:00:00,0
45612,45612,INCIDENTE,LONDRINA,PR,SBLO,2012-03-10,16:35:00,0
45647,45647,INCIDENTE,MACAÉ,RJ,****,2012-03-10,11:48:00,0
45694,45694,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,2012-03-10,12:25:00,0
45789,45789,INCIDENTE,ILHÉUS,BA,SBIL,2012-03-10,12:30:00,0
45696,45696,INCIDENTE,CAMPINAS,SP,****,2012-03-11,17:30:00,0
45697,45697,INCIDENTE,RIBEIRÃO PRETO,SP,****,2012-03-11,22:42:00,0
45597,45597,ACIDENTE,CAMPO GRANDE,MS,SBCG,2012-03-12,14:38:00,2
45611,45611,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2012-03-12,01:42:00,0
45618,45618,ACIDENTE,LUIZ ALVES,SC,****,2012-03-12,17:00:00,1
45600,45600,INCIDENTE GRAVE,ESPUMOSO,RS,****,2012-03-13,20:30:00,0
45609,45609,INCIDENTE,GOIÂNIA,GO,****,2012-03-13,12:50:00,0
45786,45786,INCIDENTE,SALVADOR,BA,SBSV,2012-03-14,12:46:00,0
45692,45692,INCIDENTE,FRANCA,SP,****,2012-03-15,14:35:00,0
45729,45729,ACIDENTE,MIRANDA,MS,****,2012-03-15,10:00:00,0
45625,45625,INCIDENTE,SANTA MARIA,RS,****,2012-03-16,12:25:00,0
45654,45654,INCIDENTE GRAVE,SÃO JOSÉ,SC,SSKT,2012-03-16,21:00:00,0
45691,45691,INCIDENTE,FRANCO DA ROCHA,SP,****,2012-03-16,18:40:00,0
45864,45864,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,2012-03-17,17:30:00,0
45685,45685,INCIDENTE,CABO FRIO,RJ,SBBZ,2012-03-18,12:20:00,0
45619,45619,ACIDENTE,SOROCABA,SP,SDCO,2012-03-19,19:18:00,0
45652,45652,ACIDENTE,PORTO ALEGRE,RS,****,2012-03-19,14:20:00,0
45686,45686,INCIDENTE,GUARULHOS,SP,****,2012-03-20,16:10:00,0
46067,46067,INCIDENTE,MACAÉ,RJ,****,2012-03-21,12:50:00,0
45795,45795,INCIDENTE,GOIÂNIA,GO,SBGO,2012-03-22,19:45:00,0
45796,45796,INCIDENTE,FORTALEZA,CE,SBFZ,2012-03-22,14:41:00,0
45730,45730,ACIDENTE,MARICÁ,RJ,SDMC,2012-03-23,16:15:00,0
45798,45798,INCIDENTE GRAVE,CHAPECÓ,SC,****,2012-03-23,21:17:00,0
45651,45651,ACIDENTE,ITU,SP,****,2012-03-24,20:45:00,0
45794,45794,ACIDENTE,NAVEGANTES,SC,SBNF,2012-03-24,17:40:00,0
45784,45784,INCIDENTE,BELO HORIZONTE,MG,****,2012-03-26,17:45:00,0
45797,45797,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,2012-03-26,20:38:00,0
46901,46901,ACIDENTE,MANAUS,AM,SBEG,2012-03-26,20:30:00,2
52057,52057,INCIDENTE,MACEIÓ,AL,SBMO,2012-03-26,13:19:00,0
45792,45792,INCIDENTE,SÃO PAULO,SP,SBSP,2012-03-27,16:00:00,0
45793,45793,INCIDENTE,GOIÂNIA,GO,****,2012-03-27,19:55:00,0
45780,45780,INCIDENTE,CAMPINAS,SP,****,2012-03-28,19:30:00,0
45790,45790,INCIDENTE,CURITIBA,PR,SBBI,2012-03-28,21:40:00,0
45791,45791,INCIDENTE,MACAÉ,RJ,SBME,2012-03-28,13:45:00,0
45773,45773,INCIDENTE,SANTA MARIA,RS,****,2012-03-29,20:33:00,0
45785,45785,INCIDENTE,COARI,AM,****,2012-03-29,15:20:00,3
45754,45754,INCIDENTE GRAVE,GOIÂNIA,GO,SWNV,2012-03-30,14:30:00,0
45774,45774,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-03-30,13:31:00,0
45731,45731,ACIDENTE,PALMAS,TO,****,2012-03-31,19:21:00,0
46069,46069,INCIDENTE,GUARULHOS,SP,****,2012-04-01,13:30:00,0
45753,45753,INCIDENTE GRAVE,OURO FINO,MG,SNOF,2012-04-02,16:30:00,0
45775,45775,INCIDENTE,SÃO PAULO,SP,****,2012-04-02,18:32:00,0
45732,45732,ACIDENTE,SORRISO,MT,****,2012-04-03,17:30:00,0
45756,45756,INCIDENTE GRAVE,SÃO FÉLIX DO XINGU,PA,****,2012-04-03,14:25:00,1
45755,45755,INCIDENTE GRAVE,CARUARU,PE,SNRU,2012-04-04,10:45:00,0
52058,52058,INCIDENTE,BAURU,SP,SBBU,2012-04-04,20:20:00,0
45733,45733,ACIDENTE,BELO HORIZONTE,MG,****,2012-04-05,17:00:00,0
45734,45734,ACIDENTE,TIROS,MG,****,2012-04-06,13:37:00,0
45752,45752,INCIDENTE GRAVE,BRAGANÇA PAULISTA,SP,SBBP,2012-04-11,12:00:00,4
45776,45776,INCIDENTE,GOVERNADOR VALADARES,MG,****,2012-04-11,09:15:00,0
47082,47082,INCIDENTE GRAVE,SAPEZAL,MT,****,2012-04-11,11:30:00,0
45779,45779,INCIDENTE,BRASÍLIA,DF,****,2012-04-12,19:00:00,0
45803,45803,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-04-12,10:30:00,0
45746,45746,ACIDENTE,FRANCA,SP,****,2012-04-13,20:25:00,0
45747,45747,ACIDENTE,CAMPO GRANDE,MS,SSKG,2012-04-13,20:30:00,0
45750,45750,ACIDENTE,ITIRAPINA,SP,****,2012-04-13,15:45:00,0
45751,45751,ACIDENTE,ITANHAÉM,SP,****,2012-04-14,15:30:00,2
45749,45749,ACIDENTE,GUARATINGUETÁ,SP,SBGW,2012-04-15,20:45:00,0
45777,45777,INCIDENTE,MANAUS,AM,SBEG,2012-04-15,06:15:00,0
45781,45781,INCIDENTE,UBERLÂNDIA,MG,SBUL,2012-04-15,20:40:00,0
46056,46056,INCIDENTE,GUAÍBA,RS,****,2012-04-15,12:05:00,0
45748,45748,ACIDENTE,FORTALEZA,CE,SBFZ,2012-04-16,22:50:00,0
46053,46053,INCIDENTE,MACAÉ,RJ,SBME,2012-04-18,12:59:00,0
45778,45778,INCIDENTE,GOIÂNIA,GO,SBGO,2012-04-19,21:45:00,0
45757,45757,ACIDENTE,JUNDIAÍ,SP,SBJD,2012-04-20,20:20:00,2
45759,45759,ACIDENTE,MACAPÁ,AP,****,2012-04-20,08:55:00,2
45783,45783,INCIDENTE,CHAVES,PA,****,2012-04-21,12:45:00,0
46052,46052,INCIDENTE,COARI,AM,****,2012-04-21,13:05:00,0
45834,45834,INCIDENTE,PORTO ALEGRE,RS,SBPA,2012-04-23,21:35:00,0
45835,45835,INCIDENTE GRAVE,BLUMENAU,SC,SSBL,2012-04-23,13:50:00,0
46048,46048,ACIDENTE,GUARULHOS,SP,SBGR,2012-04-24,16:40:00,1
45804,45804,INCIDENTE,GOIÂNIA,GO,****,2012-04-25,09:20:00,0
46055,46055,INCIDENTE,BELO HORIZONTE,MG,****,2012-04-25,20:24:00,0
46068,46068,INCIDENTE,RECIFE,PE,SBRF,2012-04-25,11:26:00,0
45820,45820,ACIDENTE,GUARUJÁ,SP,****,2012-04-26,17:26:00,3
45799,45799,ACIDENTE,SÃO SEBASTIÃO DO PASSÉ,BA,****,2012-04-27,12:40:00,1
45801,45801,INCIDENTE,GUARULHOS,SP,SBGR,2012-04-27,03:54:00,0
45844,45844,INCIDENTE,CONFINS,MG,SBCF,2012-04-27,01:40:00,0
45842,45842,INCIDENTE,MACAPÁ,AP,SBMQ,2012-04-28,14:23:00,0
46109,46109,INCIDENTE,RECIFE,PE,SBRF,2012-04-28,11:23:00,0
53433,53433,ACIDENTE,MARINGÁ,PR,SSXO,2012-04-28,20:00:00,0
46070,46070,INCIDENTE,TEIXEIRA DE FREITAS,BA,SNTF,2012-04-29,20:20:00,0
45800,45800,INCIDENTE GRAVE,SALVADOR,BA,SBSV,2012-04-30,20:25:00,0
45821,45821,ACIDENTE,LENÇÓIS PAULISTA,SP,****,2012-05-01,17:15:00,2
45843,45843,INCIDENTE,GUARULHOS,SP,SBGR,2012-05-01,23:30:00,0
45845,45845,INCIDENTE,VITÓRIA,ES,SBVT,2012-05-02,19:50:00,0
45850,45850,INCIDENTE,SERRA,ES,****,2012-05-02,19:09:00,0
45831,45831,INCIDENTE GRAVE,MARINGÁ,PR,SBMG,2012-05-03,12:00:00,0
45833,45833,INCIDENTE GRAVE,MARICÁ,RJ,****,2012-05-03,11:20:00,0
46111,46111,INCIDENTE,RECIFE,PE,SBRF,2012-05-03,11:28:00,0
45912,45912,INCIDENTE GRAVE,MUCAJAÍ,RR,SWMV,2012-05-04,19:30:00,0
45822,45822,ACIDENTE,PORTO VELHO,RO,****,2012-05-05,11:15:00,0
45830,45830,INCIDENTE GRAVE,FORMOSA,GO,SWFR,2012-05-06,19:00:00,0
45841,45841,INCIDENTE,RIO BRANCO,AC,SBRB,2012-05-07,23:42:00,0
46847,46847,ACIDENTE,MARECHAL CÂNDIDO RONDON,PR,SSCR,2012-05-07,20:25:00,2
45819,45819,ACIDENTE,PIRANHAS,GO,****,2012-05-08,19:30:00,2
46072,46072,INCIDENTE,UBERABA,MG,SBUR,2012-05-09,10:50:00,0
45829,45829,ACIDENTE,SANTA MARIANA,PR,****,2012-05-10,12:00:00,0
45853,45853,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,2012-05-10,14:50:00,0
45849,45849,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,2012-05-16,11:00:00,0
45856,45856,INCIDENTE GRAVE,PRESIDENTE FIGUEIREDO,AM,****,2012-05-16,19:30:00,0
45892,45892,INCIDENTE,CONFINS,MG,SBCF,2012-05-16,17:50:00,0
45894,45894,ACIDENTE,AFUÁ,PA,****,2012-05-16,12:10:00,0
45854,45854,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-05-17,19:40:00,0
45895,45895,INCIDENTE,SALVADOR,BA,SBSV,2012-05-17,09:55:00,0
45857,45857,ACIDENTE,SÃO PAULO,SP,SBMT,2012-05-18,10:17:00,1
45862,45862,INCIDENTE,RIBEIRÃO PRETO,SP,****,2012-05-18,17:56:00,0
45865,45865,INCIDENTE,ITÁPOLIS,SP,****,2012-05-18,19:45:00,0
45867,45867,INCIDENTE GRAVE,SÃO PAULO,SP,****,2012-05-18,15:00:00,0
45859,45859,INCIDENTE GRAVE,AMARGOSA,BA,SNAZ,2012-05-19,13:40:00,2
45861,45861,INCIDENTE,PARNAMIRIM,RN,SBNT,2012-05-19,10:40:00,0
45944,45944,INCIDENTE,CAMPINAS,SP,SBKP,2012-05-19,10:28:00,0
45866,45866,ACIDENTE,DRACENA,SP,****,2012-05-20,19:35:00,1
45890,45890,ACIDENTE,IMBITUBA,SC,****,2012-05-20,17:40:00,0
45903,45903,INCIDENTE,GOIÂNIA,GO,SBGO,2012-05-20,21:17:00,0
45889,45889,INCIDENTE,BOTUCATU,SP,SDBK,2012-05-22,13:30:00,0
52059,52059,INCIDENTE,RECIFE,PE,SBRF,2012-05-22,13:07:00,0
45891,45891,INCIDENTE GRAVE,TOLEDO,PR,SBTD,2012-05-23,11:35:00,0
45915,45915,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,2012-05-23,14:30:00,0
46049,46049,INCIDENTE GRAVE,ITAPIRANGA,AM,****,2012-05-23,20:20:00,1
45860,45860,INCIDENTE,RIO BRANCO,AC,SBRB,2012-05-24,03:10:00,0
45887,45887,INCIDENTE,JUNDIAÍ,SP,SBJD,2012-05-24,19:23:00,0
45913,45913,ACIDENTE,ALCÂNTARA,MA,****,2012-05-25,20:45:00,0
45916,45916,INCIDENTE,RECIFE,PE,SBRF,2012-05-25,18:00:00,0
45941,45941,INCIDENTE GRAVE,SALTO DE PIRAPORA,SP,SDBN,2012-05-25,20:15:00,0
46701,46701,INCIDENTE,SÃO PAULO,SP,SBSP,2012-05-25,15:40:00,0
52240,52240,INCIDENTE GRAVE,CASCAVEL,PR,SBCA,2012-05-25,20:45:00,0
45927,45927,ACIDENTE,TATUÍ,SP,SDTF,2012-05-26,12:30:00,0
45929,45929,ACIDENTE,BELO HORIZONTE,MG,SBPR,2012-05-26,11:00:00,0
45950,45950,INCIDENTE,SÃO PAULO,SP,SBMT,2012-05-26,19:30:00,0
45928,45928,ACIDENTE,DELTA,MG,****,2012-05-27,14:00:00,0
45902,45902,ACIDENTE,PONTA GROSSA,PR,SSZW,2012-05-28,20:25:00,0
45939,45939,ACIDENTE,UMUARAMA,PR,****,2012-05-30,19:00:00,0
45904,45904,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-05-31,00:03:00,0
45898,45898,INCIDENTE,JUNDIAÍ,SP,SBJD,2012-06-01,16:54:00,0
45901,45901,ACIDENTE,BELÉM,PA,SBJC,2012-06-01,15:08:00,0
45900,45900,ACIDENTE,SÃO PAULO,SP,SBMT,2012-06-02,12:29:00,1
45897,45897,INCIDENTE,JUNDIAÍ,SP,SBJD,2012-06-03,20:28:00,0
45899,45899,ACIDENTE,RIO CLARO,SP,SDRK,2012-06-03,19:40:00,0
45918,45918,INCIDENTE,ILHÉUS,BA,SBIL,2012-06-05,18:34:00,0
45933,45933,ACIDENTE,BARÃO DE MELGAÇO,MT,****,2012-06-05,20:30:00,0
45914,45914,ACIDENTE,MACAÉ,RJ,SBME,2012-06-06,21:35:00,0
45932,45932,INCIDENTE GRAVE,GOIÂNIA,GO,SBGO,2012-06-06,14:05:00,1
45943,45943,INCIDENTE,VITÓRIA,ES,SBVT,2012-06-07,12:00:00,0
45980,45980,INCIDENTE,SALVADOR,BA,SBSV,2012-06-07,18:24:00,0
46117,46117,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2012-06-08,20:55:00,0
45917,45917,INCIDENTE,SALVADOR,BA,SBSV,2012-06-11,19:30:00,0
45946,45946,INCIDENTE,CABO FRIO,RJ,SBCB,2012-06-11,14:50:00,0
45931,45931,INCIDENTE GRAVE,BELO HORIZONTE,MG,SBPR,2012-06-12,18:40:00,0
45936,45936,ACIDENTE,SINOP,MT,****,2012-06-13,11:50:00,0
45945,45945,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-06-13,21:00:00,0
45981,45981,INCIDENTE,VÁRZEA GRANDE,MT,SBCY,2012-06-13,10:51:00,0
45989,45989,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-06-13,23:00:00,0
45934,45934,ACIDENTE,PAÇO DO LUMIAR,MA,SJHR,2012-06-14,19:40:00,2
45982,45982,INCIDENTE,BELÉM,PA,SBBE,2012-06-15,00:06:00,0
45964,45964,INCIDENTE,SÃO PAULO,SP,SBSP,2012-06-16,13:15:00,0
46180,46180,ACIDENTE,AURIFLAMA,SP,****,2012-06-16,19:30:00,0
46032,46032,INCIDENTE,GUARULHOS,SP,SBGR,2012-06-17,13:36:00,0
45983,45983,INCIDENTE,BELO HORIZONTE,MG,****,2012-06-18,09:16:00,0
45942,45942,INCIDENTE,ARARAS,SP,SDAA,2012-06-19,13:40:00,0
45972,45972,INCIDENTE,CURITIBA,PR,SBBI,2012-06-19,15:00:00,0
46116,46116,INCIDENTE,VARGINHA,MG,****,2012-06-19,19:54:00,0
45935,45935,INCIDENTE,GOIÂNIA,GO,SBGO,2012-06-20,09:10:00,0
45938,45938,ACIDENTE,ALTO HORIZONTE,GO,****,2012-06-20,16:15:00,0
45947,45947,INCIDENTE,VITÓRIA,ES,****,2012-06-20,14:30:00,0
45951,45951,INCIDENTE,VITÓRIA,ES,SBVT,2012-06-21,15:00:00,0
45952,45952,INCIDENTE,COARI,AM,****,2012-06-21,12:15:00,0
45985,45985,INCIDENTE,GUARULHOS,SP,SBGR,2012-06-21,13:55:00,0
45937,45937,ACIDENTE,CANARANA,MT,SWEK,2012-06-22,14:00:00,0
45959,45959,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-06-22,14:32:00,0
45973,45973,INCIDENTE,MANAUS,AM,SBEG,2012-06-22,14:30:00,0
46022,46022,INCIDENTE,MOGI DAS CRUZES,SP,****,2012-06-22,20:20:00,0
46026,46026,INCIDENTE GRAVE,BRASÍLIA,DF,SIQE,2012-06-22,12:30:00,1
