codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
39992,39992,ACIDENTE,SÃO PAULO,SP,SBMT,2010-02-17,20:07:00,11
39386,39386,INCIDENTE,SÃO PAULO,SP,****,2010-02-18,10:10:00,0
40325,40325,INCIDENTE GRAVE,EXU,PE,****,2010-02-19,10:20:00,0
39385,39385,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,2010-02-21,17:00:00,1
39988,39988,INCIDENTE,CURITIBA,PR,SBBI,2010-02-22,16:00:00,0
40318,40318,INCIDENTE,JUIZ DE FORA,MG,****,2010-02-22,13:47:00,0
39727,39727,INCIDENTE GRAVE,VÁRZEA GRANDE,MT,SBCY,2010-02-23,19:42:00,0
39317,39317,ACIDENTE,RIO VERDE,GO,SWLC,2010-02-24,13:00:00,0
39987,39987,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2010-02-24,19:37:00,0
41181,41181,INCIDENTE,CASCAVEL,PR,SBCA,2010-02-25,11:17:00,0
39933,39933,ACIDENTE,BELO HORIZONTE,MG,****,2010-02-26,11:19:00,1
40296,40296,INCIDENTE,CURITIBA,PR,****,2010-02-26,22:32:00,0
40316,40316,INCIDENTE GRAVE,TIMÓTEO,MG,****,2010-02-26,14:40:00,3
40331,40331,INCIDENTE,CAMPINAS,SP,****,2010-02-28,09:00:00,0
40314,40314,INCIDENTE,SÃO PAULO,SP,****,2010-03-04,23:50:00,0
39916,39916,INCIDENTE GRAVE,MANAUS,AM,SBEG,2010-03-07,19:35:00,2
39910,39910,INCIDENTE,GUARULHOS,SP,SBGR,2010-03-08,00:49:00,0
39887,39887,ACIDENTE,BELO HORIZONTE,MG,SBPR,2010-03-09,17:45:00,1
39914,39914,INCIDENTE,LONDRINA,PR,SBLO,2010-03-09,21:00:00,0
40312,40312,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,2010-03-09,19:18:00,0
39913,39913,INCIDENTE GRAVE,RIO BRANCO,AC,SBRB,2010-03-10,06:17:00,3
40150,40150,INCIDENTE GRAVE,SANTA MARIA,RS,SBSM,2010-03-10,17:20:00,0
40273,40273,INCIDENTE,RIO BRANCO,AC,SBRB,2010-03-10,14:30:00,2
39993,39993,INCIDENTE GRAVE,LONDRINA,PR,SBLO,2010-03-11,12:30:00,2
41986,41986,INCIDENTE,GUARULHOS,SP,SBGR,2010-03-11,03:00:00,0
40260,40260,INCIDENTE,BELO HORIZONTE,MG,****,2010-03-12,18:10:00,0
41988,41988,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,2010-03-12,03:00:00,0
40027,40027,INCIDENTE,BLUMENAU,SC,SSBL,2010-03-15,21:05:00,0
40320,40320,INCIDENTE,GUARULHOS,SP,SBGR,2010-03-15,09:57:00,0
40322,40322,INCIDENTE,BELÉM,PA,SBJC,2010-03-15,18:15:00,0
40307,40307,INCIDENTE,BELÉM,PA,SBJC,2010-03-16,20:00:00,0
40168,40168,INCIDENTE,MONTES CLAROS,MG,SBMK,2010-03-17,01:34:00,0
40329,40329,INCIDENTE,SÃO PAULO,SP,SBSP,2010-03-18,12:10:00,0
